Real_Time,Time_ms,Location_Note,CO2,VOC,IAQ,Gas_Res,Temp_Raw,Temp_Comp,Hum_Raw,Hum_Comp,Accuracy
2025-11-27 15:36:23,69211.0,Brodie Tower Seminar Room,500.0,0,0,105811.0,0.0,25.46,41.0,40.98,0.0
2025-11-27 15:36:23,0,Brodie Tower Seminar Room,0,0.49,25.0,105478.0,0.0,25.43,41.0,41.08,0.0
2025-11-27 15:36:24,70240.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105345.0,0.0,25.43,41.0,0,0
2025-11-27 15:36:24,71270.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105478.0,0.0,0,0,41.08,0.0
2025-11-27 15:36:26,72300.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.43,41.0,41.08,0.0
2025-11-27 15:36:28,73331.0,Brodie Tower Seminar Room,500.0,0,0,105279.0,0.0,25.45,41.0,41.05,0.0
2025-11-27 15:36:28,0,Brodie Tower Seminar Room,0,0.49,25.0,105412.0,0.0,25.45,41.0,41.05,0.0
2025-11-27 15:36:28,74361.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105412.0,0.0,25.45,41.0,0,0
2025-11-27 15:36:29,75451.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105279.0,0.0,0,0,41.05,0.0
2025-11-27 15:36:30,76482.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.47,41.0,41.04,0.0
2025-11-27 15:36:31,77572.0,Brodie Tower Seminar Room,500.0,0,0,105811.0,0.0,25.47,41.0,41.04,0.0
2025-11-27 15:36:31,0,Brodie Tower Seminar Room,0,0.49,25.0,105345.0,0.0,25.47,41.0,41.04,0.0
2025-11-27 15:36:32,78601.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105279.0,0.0,25.48,41.0,0,0
2025-11-27 15:36:33,79692.0,Brodie Tower Seminar Room,500.0,0.49,25.0,104949.0,0.0,0,0,41.04,0.0
2025-11-27 15:36:34,80722.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.48,41.0,41.04,0.0
2025-11-27 15:36:35,81752.0,Brodie Tower Seminar Room,500.0,0,0,105545.0,0.0,25.48,41.0,41.04,0.0
2025-11-27 15:36:35,0,Brodie Tower Seminar Room,0,0.49,25.0,105744.0,0.0,25.49,41.0,41.05,0.0
2025-11-27 15:36:36,82782.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105279.0,0.0,25.49,41.0,0,0
2025-11-27 15:36:38,83812.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105678.0,0.0,0,0,41.05,0.0
2025-11-27 15:36:39,84842.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.49,41.0,41.05,0.0
2025-11-27 15:36:40,85933.0,Brodie Tower Seminar Room,500.0,0,0,105545.0,0.0,25.46,41.0,41.13,0.0
2025-11-27 15:36:40,0,Brodie Tower Seminar Room,0,0.49,25.0,105545.0,0.0,25.46,41.0,41.13,0.0
2025-11-27 15:36:41,86963.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105545.0,0.0,25.46,41.0,0,0
2025-11-27 15:36:42,87993.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105678.0,0.0,0,0,41.13,0.0
2025-11-27 15:36:42,89023.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.46,41.0,41.13,0.0
2025-11-27 15:36:44,90053.0,Brodie Tower Seminar Room,500.0,0,0,105878.0,0.0,25.46,41.0,41.13,0.0
2025-11-27 15:36:44,0,Brodie Tower Seminar Room,0,0.49,25.0,105545.0,0.0,25.46,41.0,41.13,0.0
2025-11-27 15:36:45,91083.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105678.0,0.0,25.45,41.0,0,0
2025-11-27 15:36:46,92113.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105878.0,0.0,0,0,41.16,0.0
2025-11-27 15:36:47,93204.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.45,41.0,41.16,0.0
2025-11-27 15:36:48,94234.0,Brodie Tower Seminar Room,500.0,0,0,105678.0,0.0,25.48,41.0,41.1,0.0
2025-11-27 15:36:48,0,Brodie Tower Seminar Room,0,0.49,25.0,105412.0,0.0,25.48,41.0,41.1,0.0
2025-11-27 15:36:49,95264.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105412.0,0.0,25.48,41.0,0,0
2025-11-27 15:36:50,96294.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105545.0,0.0,0,0,41.1,0.0
2025-11-27 15:36:51,97324.0,Brodie Tower Seminar Room,500.0,0.49,25.0,0,0,25.49,41.0,41.09,0.0
2025-11-27 15:36:52,98354.0,Brodie Tower Seminar Room,500.0,0,0,105081.0,0.0,25.49,41.0,41.09,0.0
2025-11-27 15:36:52,0,Brodie Tower Seminar Room,0,0.49,25.0,105412.0,0.0,25.49,41.0,41.09,0.0
2025-11-27 15:36:53,99445.0,Brodie Tower Seminar Room,500.0,0.49,25.0,105147.0,0.0,25.51,41.0,0,0
